Product,Consumer complaint narrative
Bank account or service,"I went to the bank of America on XXXX XXXX XXXX in XXXX GA on XXXX/XXXX/16 i in the afternoon when everyone in the bank started to XXXX.I complained to the manager that they was a problem.The bank was evacuated after about 30mins and people people started to XXXX vigorously outside and paramedics and police were called in. 
I left to go home only to end up in the emergency where I was given a XXXX and told to get a prescribtion.I got a bill from the hospital which I took to the bank and I was given a number to call and I did but they told me the manager had to make a complaint I went back to the manager who told me to go call the number I called XXXX XXXX who told me to call your agency.I want my bill paid and also a settlement for suffering and XXXX."
Credit card,"15 usc1666b 604 15usc1681b 15 usc1681c-2 I need an investigation into all credit card accounts for inaccuracy of reporting to The credit bureaus affecting my credit scores My capital one account just closed without any notification and I have a long history with this Account ~ please investigate as to wether or not the practices of my creditors are appropriate And that I am being treated fairly accrued to FTC laws Unnecessary inquires XXXX XXXX  has over a hundred inquiries on my account, constantly reporting to the credit bureaus. 

Thank you for your attention concerning this matter"
Debt collection,"I do not have any accurate dates as this situation was from XXXX. I visited an emergency room thinking I had insurance which I was spaying for through my job, it hadnt been active yet & I didnt know this until after the services provided. I received a bill for around XXXX XXXX I had started making payment but then had gone through some hardships & couldnt afford it. Which I had stated to the collections company. Years have passed & at one point during covid a XXXX $ medical bill showed up on my credit. A few days later it was off my credit. Now there is a XXXX $ bill in collections on my account that says it was opened XXXX of XXXX but the bill is from XXXX. Nobody has ever offered me any sort of assistance for this situation & I firmly truthfully believe I should not have to be dealing with this situation at all. Please help me in any way possible!"
Debt collection,"This company which I have "" NO CONTRACT '' with has no legal right to collect on this said debt per the contract with the original company. Reporting of the debt is a violation of the FCRA. Section 623 ( a ) ( 2 ), Section 623 ( a ) ( 1 ) ( B ), and Section 623 ( b ) ( 1 ) ( E ). Please provide me with a true and certified copy of the complete audit trail/Certified Final Forensic Internal Audit of said account. Futhermore, in order for XXXX XXXX to validate the debt, please provide verification through audit certification of debt entry in accordance with G.A.A.P., I.F.R.S., in accordance with basel 3 accord and U.N.C.I.T.R.A.L Conventions."
Credit card or prepaid card,"In Key 's response to my CFPB complaint, it purported that an explanation was provided to address your concerns. "" Concerns '' are not the real issue. The larger issue is Key 's exportation of liability through Keys off-shore call centers. This apect continues to be dodged by diverting attention from the only documentation trail discoverable by the consumer : salient call-records.

In this case, Keys call records will evidence the fact that when Key was called regarding a payment plan, I as most consumers, had no knowledge of a so-called re-age plan and none was proposed. Instead a loan-modification agreement was described, discussed in detail and agreed to including the previously detailed credit resolution itemized to the CFPB on X/XX/2017. This conversation was documented and has been provided to Key on numerous occasions including dates, names and locations of the Key employees directly involved. Key initially agreed to, but failed to provide the agreement in writing and after repeated requests by phone and email, refused to write or email altogether. The loan modification agreement and other terms of the arrangement were subsequently re-characterized by Key personnel with different phrases including the re-age description. 

Instead of diverting from this issue with voluminous documents, ( about 100 pages to date ) it would be more to the point to provide the recorded records of the actual conversation. This would also clarify the failed funds transfer and the ensuing explanation by Key regarding why the woman taking the request did not hit the submit button also detailed on X/XX/2017."
Credit reporting or other personal consumer reports,"In the quiet humdrum of everyday life, a sudden jolt shattered the tranquility : I had become a victim of identity theft. Like a thief in the night, unseen hands had stolen my personal information, plunging me into a bewildering maze of uncertainty. With each fraudulent transaction and unauthorized account, the breach of trust cut deep, leaving me grappling with the unsettling reality of a violated identity. Yet, in the midst of chaos, a glimmer of resilience emerged, a resolve to reclaim what was rightfully mine and restore the harmony stolen by unseen adversaries. These are the following accounts need to be removed :"
Debt collection,I have contacted Harvest Associates to inform them that they are reporting an inaccurate medical collection on my credit file. I also believe that any company that has given Harvest Associates any information concerning any medical information about me is in complete violation of HIPPA and so is Harvest Associates because I have never given any company permission to share my medical information. Not only that I am a victim of identity theft and do believe that this account is a I direct result of such. I have never done business with Harvest Associates and have never had any obligation that suggest I owe any monies to Harvest or any company that they represent.
"Credit reporting, credit repair services, or other personal consumer reports","I received an email XXXXXX/XX/XXXX, saying that a debit will me be made from my account in the amount of {$370.00}, please ensure that you have funds available to cover this debt. The loan was taken out on XX/XX/XXXX from someone else. I contacted Cash Center and they told me this was the 6th loan taken out, I explained to them, I do not have or ever had a XXXX XXXX  card, which they applied the loan to. So they told me that I would need to fill out the Identity Theft Victim 's complaint, which I did then I asked them about the other loans, the woman XXXX  told me since it's a fraudulent loan they could not give me the information about where the money or how the money was funded. I do have the dates of the other loans. I have filed a police report and have XXXX and contacted the IRS and IdentityTheft.gov. Now I am filing a complaint with you. What kind of business puts money on a card, which is not affiliated with a bank or has a bank account, checking or statement. I do not have a bank account, have not in the past 4-5 years. Not sure how they got my ss, I know with the XXXX breach. I have gotten more emails from Cash Central/Choice Financial that the debit did not go through, and have put added expense on the amount. I am very upset about this and having to jump through all these hoops for something someone else has done. The other dates areXX/XX/XXXX {$350.00}, XX/XX/XXXX {$350.00}, XX/XX/XXXX {$200.00}, XX/XX/XXXX{$350.00}"
"Credit reporting, credit repair services, or other personal consumer reports","Back in the end of XXXX, beginning of XXXX I filed a complaint about this loan which they say is mine. When I try complaining, all the credit bureaus do is try to get me to admit it 's mine. At the time this loan supposedly took place, I was freshly out of the hospital from my second XXXX. I 'm still XXXX XXXX XXXX XXXX XXXX, and the dmv had revoked my drivers license for medical reasons. I called XXXX XXXX XXXX  and explained to them, but they did n't want to hear it. I wanted them to show me the contract that I signed, that would have proved it was n't my being that I 'm right handed. After hearing that I had complained they closed the account, the original opening date was X/XX/2013. The item still appears on all three credit bureaus, and I want it off."
Debt collection,"First off I hate having to be forced to put in a topic which doesn't fit this situation! It is ridiculous! What happened to none of the above fits my problem?! 
I had a Paypal credit card issues by Synchrony Bank and it was close! Then I made an agreement with them to pay {$60.00} each month until the debt was paid off. I have been paying as agreed upon, but they say that the account is past due treating it as if the account is still open. I made a payment on XXXX XX/XX/year> and they are trying to double bill me for what they are calling past due {$140.00} when the account was open as a credit card! I already made a {$100.00} payment on the XXXX of XX/XX/year> and explained I could afford more. As I am on a fixed income. Yet they told me that {$140.00} is due today, but this was not part of the agreement. I am to pay $ XXXX  monthly. They said they will report that my account is delinquent further damaging my credit report and this will make it extremely hard and impossible for me to get a job by them lying! I did what I agreed upon and they will say I am delinquent. The account is closed! 
It would only be true if the credit card was still open, but it's closed. I don't feel it is fair double billing me in the same month for the {$140.00}, when I already made a {$100.00} payment and only agreed to pay {$60.00}. I am paying as agreed and they will report I am not! This is not right! How am I supposed to find a job with worse credit they will create and find a habitual place to live for my family if they are lying and double billing me as I am paying as agreed upon!"
